#id	argumentative	overall quality	local acceptability	appropriateness	arrangement	clarity	cogency	effectiveness	global acceptability	global relevance	global sufficiency	reasonableness	local relevance	credibility	emotional appeal	sufficiency
1191878965	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	2.0
12365	1.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	2.0	3.0	2.0	2.0	1.0
12367	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	1.0
12371	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	1.0
12380	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0
12383	1.0	1.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	2.0	2.0	1.0
12388	1.0	2.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0
12402	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0
12414	1.0	2.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0
12421	1.0	1.0	1.0	2.0	2.0	3.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0
12430	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
12431	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0
12466	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
12567	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	1.0
12580	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0
12589	1.0	1.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0
12592	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
13259	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0
13260	1.0	3.0	2.0	3.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	1.0	2.0
13270	1.0	1.0	1.0	3.0	2.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0
13275	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0
13279	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0
13989	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0
13993	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
13998	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	2.0
14000	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0
14002	1.0	1.0	1.0	3.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	1.0
14003	1.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	3.0	1.0	2.0	3.0	2.0	2.0	2.0
14007	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0
1633	1.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	1.0
1641	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	2.0	2.0
1661	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0
1683	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0
2137504198	1.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	2.0	2.0
27868	1.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0
28068	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0
28415	1.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	2.0
28498	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0
29278	1.0	2.0	2.0	3.0	2.0	3.0	2.0	1.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0
29393	1.0	2.0	3.0	3.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0
30319	1.0	2.0	2.0	2.0	2.0	3.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0
30529	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	1.0	3.0	1.0
31527	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	1.0
33187	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0
33506	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0
33757	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0
37675	1.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0
37929	1.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	3.0	2.0	3.0	1.0
389	1.0	2.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0
390	1.0	2.0	3.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	3.0	1.0	2.0	2.0
